{'artist': 'Dick Dale', 'song': "It's Beginning to Look a Lot Like Christmas", 'genre': 'Holiday', 'alternative_artist': 'Dick Dale', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Frosty the Snowman', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'All I Want for Christmas Is You', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Rudolph the Red-Nosed Reindeer', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'We Three Kings (Part 1)', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'White Christmas', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'We Three Kings, Pt. 2', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Twas the Night Before Christmas (Cajun Version)', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Sammy Kershaw', 'song': 'Santa Claus Is Back In Town', 'genre': 'Holiday', 'alternative_artist': 'Sammy Kershaw', 'add_to_final_records': True}
{'artist': 'Hunter Hayes', 'song': 'Merry Christmas Baby', 'genre': 'Holiday', 'alternative_artist': 'Hunter Hayes', 'add_to_final_records': True}
{'artist': 'Hunter Hayes', 'song': "Let's Have an Old Fashioned Christmas", 'genre': 'Holiday', 'alternative_artist': 'Hunter Hayes', 'add_to_final_records': True}
{'artist': 'Echosmith', 'song': 'Happy Xmas (War Is Over) [feat. Hunter Hayes]', 'genre': 'Holiday', 'alternative_artist': 'Hunter Hayes', 'add_to_final_records': True}
{'artist': 'Justin Bieber', 'song': 'Mistletoe', 'genre': 'Holiday', 'alternative_artist': 'Dream', 'add_to_final_records': True}
{'artist': 'Justin Bieber', 'song': 'Drummer Boy (feat. Busta Rhymes)', 'genre': 'Holiday', 'alternative_artist': 'Dream', 'add_to_final_records': True}
{'artist': 'Justin Bieber & Mariah Carey', 'song': 'All I Want for Christmas Is You (SuperFestive!) [Duet with Mariah Carey]', 'genre': 'Holiday', 'alternative_artist': 'Dream', 'add_to_final_records': True}
{'artist': 'The No Name Band', 'song': 'The Maggie Rap', 'genre': 'Holiday', 'alternative_artist': 'Miracle (Rap)', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'Mary Did You Know', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'Santa Baby', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'I Just Need You for Christmas', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'The Christmas Song', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'Blame It On the Mistletoe', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': "Breath of Heaven (Mary's Song)", 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'Fruitcake', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'Christmas In July', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': 'O Holy Night', 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Gwen Sebastian', 'song': "Rockin' Around the Christmas Tree", 'genre': 'Holiday', 'alternative_artist': 'Gwen Sebastian', 'add_to_final_records': True}
{'artist': 'Money Mark', 'song': 'Stuck At the Airport', 'genre': 'Holiday', 'alternative_artist': 'Money Mark', 'add_to_final_records': True}
{'artist': 'Money Mark', 'song': 'Make Time', 'genre': 'Holiday', 'alternative_artist': 'Money Mark', 'add_to_final_records': True}
{'artist': 'Theory of a Deadman', 'song': 'Hallelujah', 'genre': 'Holiday', 'alternative_artist': 'Theory of a Deadman', 'add_to_final_records': True}
{'artist': 'Rachel Platten', 'song': "You're a Mean One Mr. Grinch", 'genre': 'Holiday', 'alternative_artist': 'Rachel Platten', 'add_to_final_records': True}
{'artist': 'Rachel Platten', 'song': "You're a Mean One, Mr. Grinch", 'genre': 'Holiday', 'alternative_artist': 'Rachel Platten', 'add_to_final_records': True}
{'artist': 'Alex Wong & Rachel Platten', 'song': 'Make It Home', 'genre': 'Holiday', 'alternative_artist': 'Rachel Platten', 'add_to_final_records': True}
{'artist': 'Kenny Rogers & Wynonna', 'song': 'Mary, Did You Know?', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Winter Wonderland', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Children, Go Where I Send Thee (feat. Home Free)', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': "A Soldier's King", 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': "'Til the Season Comes 'Round Again", 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Sweet Little Jesus Boy', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': "It's the Messiah", 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Pretty Little Baby Child', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'What a Wonderful Beginning', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'I Trust You', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'The Chosen One Montage', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Christmas In America', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Silver Bells', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': "I'll Be Home for Christmas", 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'The First Noel', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Away In a Manger', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Joy to the World', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'Have Yourself a Merry Little Christmas', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'God Rest Ye Merry Gentlemen', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'Kenny Rogers', 'song': 'O Little Town of Bethlehem', 'genre': 'Holiday', 'alternative_artist': 'Kenny Rogers', 'add_to_final_records': True}
{'artist': 'The Volunteers', 'song': "I Wasn't His Child", 'genre': 'Holiday', 'alternative_artist': 'Skip Ewing', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'God Rest Ye Merry Gentlemen', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Angels from the Realms of Glory', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'The First Noel', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'The Holly and the Ivy', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Il Est Ne Le Divin Enfant', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'In the Bleak Midwinter', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Oh Little Town of Bethlehem', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Universal Child', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'Lullay Lullay (Coventry Carol)', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': "See Amid the Winter's Snow", 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Annie Lennox', 'song': 'As Joseph Was a Walking', 'genre': 'Holiday', 'alternative_artist': 'Annie Lennox', 'add_to_final_records': True}
{'artist': 'Katy Perry', 'song': 'White Christmas', 'genre': 'Holiday', 'alternative_artist': 'Katy Perry', 'add_to_final_records': True}
{'artist': 'Glen Campbell', 'song': 'Pretty Paper', 'genre': 'Holiday', 'alternative_artist': 'Glen Campbell', 'add_to_final_records': True}
{'artist': 'Glen Campbell', 'song': 'Old Toy Trains', 'genre': 'Holiday', 'alternative_artist': 'Glen Campbell', 'add_to_final_records': True}
{'artist': 'Rosemary Clooney; Orchestra under the direction of Tony Mottola', 'song': 'Suzy Snowflake', 'genre': 'Holiday', 'alternative_artist': 'One Direction', 'add_to_final_records': True}
{'artist': 'Maddie Poppe', 'song': "Rockin' Around the Christmas Tree", 'genre': 'Holiday', 'alternative_artist': 'Maddie & Tae', 'add_to_final_records': True}
{'artist': 'Maddie Poppe', 'song': 'Have Yourself a Merry Little Christmas', 'genre': 'Holiday', 'alternative_artist': 'Maddie & Tae', 'add_to_final_records': True}
{'artist': 'Lorrie Morgan', 'song': 'Merry Christmas To Me (feat. Lorrie Morgan)', 'genre': 'Holiday', 'alternative_artist': 'Lorrie Morgan', 'add_to_final_records': True}
{'artist': 'Slim Whitman', 'song': 'Star of the East', 'genre': 'Holiday', 'alternative_artist': 'Slim Whitman', 'add_to_final_records': True}
{'artist': "Sinéad O'Connor", 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': "Sinéad O'Connor", 'add_to_final_records': True}
{'artist': "Sinéad O'Connor, Danny O'Reilly & RTE Concert Orchestra", 'song': 'When a Child Is Born', 'genre': 'Holiday', 'alternative_artist': "Sinéad O'Connor", 'add_to_final_records': True}
{'artist': "Sinéad O'Connor", 'song': "Once in Royal David's City", 'genre': 'Holiday', 'alternative_artist': "Sinéad O'Connor", 'add_to_final_records': True}
{'artist': "Rosie O'Donnell & Cher", 'song': 'Christmas (Baby Please Come Home)', 'genre': 'Holiday', 'alternative_artist': 'Cher', 'add_to_final_records': True}
{'artist': 'Plácido Domingo, Charlotte Church, Steven Mercurio & Vienna Philharmonic', 'song': 'O Holy Night', 'genre': 'Holiday', 'alternative_artist': 'Charlotte Church', 'add_to_final_records': True}
{'artist': 'Charlotte Church', 'song': 'The Little Drummer Boy', 'genre': 'Holiday', 'alternative_artist': 'Charlotte Church', 'add_to_final_records': True}
{'artist': 'Tyler, The Creator', 'song': 'I Am the Grinch (feat. Fletcher Jones)', 'genre': 'Holiday', 'alternative_artist': '" Tyler, The Creator "', 'add_to_final_records': True}
{'artist': 'Daryl Hall & John Oates', 'song': 'Jingle Bell Rock', 'genre': 'Holiday', 'alternative_artist': 'Hall & Oates', 'add_to_final_records': True}
{'artist': 'Matthew Hall & Meagan Moore', 'song': 'When Christmas Comes to Town', 'genre': 'Holiday', 'alternative_artist': 'Hall & Oates', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'Merry Christmas, Happy Holidays', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'O Holy Night', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'I Never Knew the Meaning of Christmas', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': "Love's In Our Hearts On Christmas Day", 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'In Love On Christmas', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'Home for Christmas', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'All I Want Is You (This Christmas)', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'The First Noel', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'Kiss Me At Midnight', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'Under My Tree', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': "I Guess It's Christmas Time", 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'The Christmas Song (Chestnuts Roasting On an Open Fire)', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': "It's Christmas", 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': '*NSYNC', 'song': 'The Only Gift', 'genre': 'Holiday', 'alternative_artist': '*NSync', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'An Old Christmas Card', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'Little Toy Trains', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'Carol of the Bells', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': "Rockin' Around the Christmas Tree", 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'Silent Night', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': "I'll Be Home for Christmas", 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'Away In a Manger', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'White Christmas', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'This Old White Doorway', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'The Forester Sisters', 'song': 'The First Noel', 'genre': 'Holiday', 'alternative_artist': 'The Forester Sisters', 'add_to_final_records': True}
{'artist': 'Nicole Scherzinger', 'song': 'O Holy Night', 'genre': 'Holiday', 'alternative_artist': 'Nicole Scherzinger', 'add_to_final_records': True}
{'artist': 'Linda Davis', 'song': 'Waiting for Christmas Day', 'genre': 'Holiday', 'alternative_artist': 'Linda Davis', 'add_to_final_records': True}
{'artist': 'At This Performance…', 'song': 'We Three Cool Kings (feat. Alan H. Green, Mykal Kilgore, Dennis Stowe, Nili Bassman, Josh Davis, Kevin Smith Kirkwood, Linda Mugleston, Brian O’brien, Mary Michael Patterson, Mike Schwitter & Rashidra Scoti)', 'genre': 'Holiday', 'alternative_artist': 'Linda Davis', 'add_to_final_records': True}
{'artist': 'Linda Clark', 'song': 'Silent Night (feat. Michael Davis)', 'genre': 'Holiday', 'alternative_artist': 'Linda Davis', 'add_to_final_records': True}
{'artist': 'Deborah Davis', 'song': 'Grown up Christmas List', 'genre': 'Holiday', 'alternative_artist': 'Linda Davis', 'add_to_final_records': True}
{'artist': 'Tom T. Hall', 'song': 'Oh Christmas Tree', 'genre': 'Holiday', 'alternative_artist': 'Tom T', 'add_to_final_records': True}
{'artist': 'Trans-Siberian Orchestra', 'song': 'Christmas / Sarajevo 12/24 (Instrumental)', 'genre': 'Holiday', 'alternative_artist': 'Trans-Siberian Orchestra', 'add_to_final_records': True}
{'artist': 'Trans-Siberian Orchestra', 'song': 'Christmas Canon', 'genre': 'Holiday', 'alternative_artist': 'Trans-Siberian Orchestra', 'add_to_final_records': True}
{'artist': 'Trans-Siberian Orchestra', 'song': 'Wizards in Winter (Instrumental)', 'genre': 'Holiday', 'alternative_artist': 'Trans-Siberian Orchestra', 'add_to_final_records': True}
{'artist': 'Trans-Siberian Orchestra', 'song': "A Mad Russian's Christmas (Instrumental)", 'genre': 'Holiday', 'alternative_artist': 'Trans-Siberian Orchestra', 'add_to_final_records': True}
{'artist': 'Trans-Siberian Orchestra', 'song': 'O Come All Ye Faithful / O Holy Night (Instrumental)', 'genre': 'Holiday', 'alternative_artist': 'Trans-Siberian Orchestra', 'add_to_final_records': True}
